LocationType,Location,TimeFrame,DataFormat,Data
County,Clay,1999,Number,65
County,Clay,2000,Number,77
County,Clay,2001,Number,70
County,Clay,2002,Number,90
County,Clay,2003,Number,92
County,Clay,2004,Number,85
County,Clay,2005,Number,88
County,Clay,2006,Number,90
County,Clay,2007,Number,66
County,Clay,2008,Number,88
County,Clay,2013,Number,88
County,Clay,2018,Number,83
County,Clay,2009,Number,94
County,Clay,2010,Number,78
County,Clay,2015,Number,83
County,Clay,2011,Number,79
County,Clay,2012,Number,84
County,Clay,2016,Number,101
County,Clay,2014,Number,78
County,Clay,2017,Number,89
County,Clay,2020,Number,96
County,Clay,2021,Number,76
County,Clay,2022,Number,76
County,Clay,2023,Number,87
County,Clay,2024,Number,9
County,Clay,2019,Number,86
County,Cleveland,2017,Number,1065
County,Cleveland,2014,Number,1055
County,Cleveland,2016,Number,1059
County,Cleveland,2012,Number,1095
County,Cleveland,2011,Number,1088
County,Cleveland,2015,Number,1084
County,Cleveland,2010,Number,1127
County,Cleveland,2009,Number,1200
County,Cleveland,2018,Number,1162
County,Cleveland,2013,Number,1052
County,Cleveland,2008,Number,1240
County,Cleveland,2007,Number,1200
County,Cleveland,2006,Number,1166
County,Cleveland,2005,Number,1144
County,Cleveland,2004,Number,1184
County,Cleveland,2003,Number,1214
County,Cleveland,2002,Number,1202
County,Cleveland,2001,Number,1296
County,Cleveland,2000,Number,1334
County,Cleveland,1999,Number,1234
County,Cleveland,1998,Number,1340
County,Cleveland,1997,Number,1257
County,Cleveland,1996,Number,1291
County,Cleveland,1995,Number,1250
County,Cleveland,2020,Number,1079
County,Cleveland,2021,Number,1160
County,Cleveland,2022,Number,1100
County,Cleveland,2023,Number,1154
County,Cleveland,2024,Number,1069
County,Cleveland,2019,Number,1146
County,Columbus,1995,Number,736
County,Columbus,1996,Number,719
County,Columbus,1997,Number,783
County,Columbus,1998,Number,821
County,Columbus,1999,Number,838
County,Columbus,2000,Number,809
County,Columbus,2001,Number,804
County,Columbus,2002,Number,771
County,Columbus,2003,Number,756
County,Columbus,2004,Number,741
County,Columbus,2005,Number,744
County,Columbus,2006,Number,723
County,Columbus,2007,Number,797
County,Columbus,2008,Number,734
County,Columbus,2013,Number,652
County,Columbus,2018,Number,566
County,Columbus,2009,Number,686
County,Columbus,2010,Number,672
County,Columbus,2015,Number,600
County,Columbus,2011,Number,652
County,Columbus,2012,Number,623
County,Columbus,2016,Number,593
County,Columbus,2014,Number,608
County,Columbus,2017,Number,578
County,Columbus,2020,Number,572
County,Columbus,2021,Number,608
County,Columbus,2022,Number,596
County,Columbus,2023,Number,578
County,Columbus,2024,Number,501
County,Columbus,2019,Number,562
County,Craven,2017,Number,1386
County,Craven,2014,Number,1500
County,Craven,2016,Number,1439
County,Craven,2012,Number,1623
County,Craven,2011,Number,1644
County,Craven,2015,Number,1454
County,Craven,2010,Number,1708
County,Craven,2009,Number,1676
County,Craven,2018,Number,1337
County,Craven,2013,Number,1504
County,Craven,2008,Number,1734
County,Craven,2007,Number,1609
County,Craven,2006,Number,1630
County,Craven,2005,Number,1527
County,Craven,2004,Number,1582
County,Craven,2003,Number,1537
County,Craven,2002,Number,1519
County,Craven,2001,Number,1575
County,Craven,2000,Number,1652
County,Craven,1999,Number,1612
County,Craven,1998,Number,1596
County,Craven,1997,Number,1620
County,Craven,1996,Number,1488
County,Craven,1995,Number,1471
County,Craven,2020,Number,1312
County,Craven,2021,Number,1235
County,Craven,2022,Number,1293
County,Craven,2023,Number,1232
County,Craven,2024,Number,1292
County,Craven,2019,Number,1319
County,Cumberland,1995,Number,5761
County,Cumberland,1996,Number,5623
County,Cumberland,1997,Number,5550
County,Cumberland,1998,Number,5619
County,Cumberland,1999,Number,5444
County,Cumberland,2000,Number,5665
County,Cumberland,2001,Number,5315
County,Cumberland,2002,Number,5433
County,Cumberland,2003,Number,5274
County,Cumberland,2004,Number,5226
County,Cumberland,2005,Number,5529
County,Cumberland,2006,Number,5586
County,Cumberland,2007,Number,5653
County,Cumberland,2008,Number,5702
County,Cumberland,2013,Number,5691
County,Cumberland,2018,Number,5402
County,Cumberland,2009,Number,6196
County,Cumberland,2010,Number,5837
County,Cumberland,2015,Number,5413
County,Cumberland,2011,Number,6071
County,Cumberland,2012,Number,5534
County,Cumberland,2016,Number,5446
County,Cumberland,2014,Number,5700
County,Cumberland,2017,Number,5506
County,Cumberland,2020,Number,5120
County,Cumberland,2021,Number,5239
County,Cumberland,2022,Number,5282
County,Cumberland,2023,Number,5088
County,Cumberland,2024,Number,5052
County,Cumberland,2019,Number,5462
County,Currituck,2017,Number,257
County,Currituck,2014,Number,260
County,Currituck,2016,Number,262
County,Currituck,2012,Number,209
County,Currituck,2011,Number,232
County,Currituck,2015,Number,260
County,Currituck,2010,Number,243
County,Currituck,2009,Number,228
County,Currituck,2018,Number,263
County,Currituck,2013,Number,256
County,Currituck,2008,Number,220
County,Currituck,2007,Number,269
County,Currituck,2006,Number,242
County,Currituck,2005,Number,256
County,Currituck,2004,Number,265
County,Currituck,2003,Number,232
County,Currituck,2002,Number,211
County,Currituck,2001,Number,211
County,Currituck,2000,Number,236
County,Currituck,1999,Number,205
County,Currituck,1998,Number,187
County,Currituck,1997,Number,160
County,Currituck,1996,Number,186
County,Currituck,1995,Number,165
County,Currituck,2020,Number,291
County,Currituck,2021,Number,340
County,Currituck,2022,Number,338
County,Currituck,2023,Number,303
County,Currituck,2024,Number,94
County,Currituck,2019,Number,259
County,Dare,1995,Number,323
County,Dare,1996,Number,282
County,Dare,1997,Number,302
County,Dare,1998,Number,312
County,Dare,1999,Number,318
County,Dare,2000,Number,350
County,Dare,2001,Number,354
County,Dare,2002,Number,354
County,Dare,2003,Number,429
County,Dare,2004,Number,489
County,Dare,2005,Number,460
County,Dare,2006,Number,468
County,Dare,2007,Number,406
County,Dare,2008,Number,419
County,Dare,2013,Number,339
County,Dare,2018,Number,318
County,Dare,2009,Number,383
County,Dare,2010,Number,375
County,Dare,2015,Number,348
County,Dare,2011,Number,366
County,Dare,2012,Number,392
County,Dare,2016,Number,319
County,Dare,2014,Number,351
County,Dare,2017,Number,344
County,Dare,2020,Number,339
County,Dare,2021,Number,295
County,Dare,2022,Number,284
County,Dare,2023,Number,290
County,Dare,2024,Number,240
County,Dare,2019,Number,310
County,Davidson,2017,Number,1762
County,Davidson,2014,Number,1756
County,Davidson,2016,Number,1771
County,Davidson,2012,Number,1666
County,Davidson,2011,Number,1747
County,Davidson,2015,Number,1749
County,Davidson,2010,Number,1729
County,Davidson,2009,Number,1887
County,Davidson,2018,Number,1751
County,Davidson,2013,Number,1725
County,Davidson,2008,Number,1997
County,Davidson,2007,Number,1915
County,Davidson,2006,Number,1921
County,Davidson,2005,Number,1921
County,Davidson,2004,Number,1883
County,Davidson,2003,Number,1940
County,Davidson,2002,Number,1903
County,Davidson,2001,Number,1927
County,Davidson,2000,Number,1973
County,Davidson,1999,Number,1885
County,Davidson,1998,Number,1843
County,Davidson,1997,Number,1736
County,Davidson,1996,Number,1847
County,Davidson,1995,Number,1728
County,Davidson,2020,Number,1699
County,Davidson,2021,Number,1792
County,Davidson,2022,Number,1752
County,Davidson,2023,Number,1802
County,Davidson,2024,Number,1823
