Location,LocationID,FilterCategory,DataGroup,TimeFrame,DataFormat,Data,Unit
Bladen,37017,Total,Substantiated,2022,Number,116,
Bladen,37017,Total,Investigated,2023,Number,473,
Bladen,37017,Total,Substantiated,2023,Number,134,
Brunswick,37019,Total,Investigated,2018,"Rate per 1,000",62.2,"per 1,000 children"
Brunswick,37019,Total,Substantiated,2018,"Rate per 1,000",10.3,"per 1,000 children"
Brunswick,37019,Total,Investigated,2019,"Rate per 1,000",59.7,"per 1,000 children"
Brunswick,37019,Total,Substantiated,2019,"Rate per 1,000",11.9,"per 1,000 children"
Brunswick,37019,Total,Investigated,2020,"Rate per 1,000",60.3,"per 1,000 children"
Brunswick,37019,Total,Substantiated,2020,"Rate per 1,000",14.1,"per 1,000 children"
Brunswick,37019,Total,Investigated,2021,"Rate per 1,000",76,"per 1,000 children"
Brunswick,37019,Total,Substantiated,2021,"Rate per 1,000",17.1,"per 1,000 children"
Brunswick,37019,Total,Investigated,2022,"Rate per 1,000",71.6,"per 1,000 children"
Brunswick,37019,Total,Substantiated,2022,"Rate per 1,000",15.7,"per 1,000 children"
Brunswick,37019,Total,Investigated,2023,"Rate per 1,000",68.3,"per 1,000 children"
Brunswick,37019,Total,Substantiated,2023,"Rate per 1,000",17.9,"per 1,000 children"
Brunswick,37019,Total,Investigated,2018,Number,1400,
Brunswick,37019,Total,Substantiated,2018,Number,232,
Brunswick,37019,Total,Investigated,2019,Number,1369,
Brunswick,37019,Total,Substantiated,2019,Number,274,
Brunswick,37019,Total,Investigated,2020,Number,1396,
Brunswick,37019,Total,Substantiated,2020,Number,327,
Brunswick,37019,Total,Investigated,2021,Number,1674,
Brunswick,37019,Total,Substantiated,2021,Number,377,
Brunswick,37019,Total,Investigated,2022,Number,1602,
Brunswick,37019,Total,Substantiated,2022,Number,352,
Brunswick,37019,Total,Investigated,2023,Number,1587,
Brunswick,37019,Total,Substantiated,2023,Number,416,
Buncombe,37021,Total,Investigated,2018,"Rate per 1,000",61,"per 1,000 children"
Buncombe,37021,Total,Substantiated,2018,"Rate per 1,000",12.6,"per 1,000 children"
Buncombe,37021,Total,Investigated,2019,"Rate per 1,000",60.1,"per 1,000 children"
Buncombe,37021,Total,Substantiated,2019,"Rate per 1,000",13,"per 1,000 children"
Buncombe,37021,Total,Investigated,2020,"Rate per 1,000",55.4,"per 1,000 children"
Buncombe,37021,Total,Substantiated,2020,"Rate per 1,000",13.2,"per 1,000 children"
Buncombe,37021,Total,Investigated,2021,"Rate per 1,000",56.6,"per 1,000 children"
Buncombe,37021,Total,Substantiated,2021,"Rate per 1,000",13.1,"per 1,000 children"
Buncombe,37021,Total,Investigated,2022,"Rate per 1,000",56.5,"per 1,000 children"
Buncombe,37021,Total,Substantiated,2022,"Rate per 1,000",11.9,"per 1,000 children"
Buncombe,37021,Total,Investigated,2023,"Rate per 1,000",56.8,"per 1,000 children"
Buncombe,37021,Total,Substantiated,2023,"Rate per 1,000",11.3,"per 1,000 children"
Buncombe,37021,Total,Investigated,2018,Number,3283,
Buncombe,37021,Total,Substantiated,2018,Number,680,
Buncombe,37021,Total,Investigated,2019,Number,3226,
Buncombe,37021,Total,Substantiated,2019,Number,696,
Buncombe,37021,Total,Investigated,2020,Number,2955,
Buncombe,37021,Total,Substantiated,2020,Number,705,
Buncombe,37021,Total,Investigated,2021,Number,3099,
Buncombe,37021,Total,Substantiated,2021,Number,717,
Buncombe,37021,Total,Investigated,2022,Number,3056,
Buncombe,37021,Total,Substantiated,2022,Number,645,
Buncombe,37021,Total,Investigated,2023,Number,3042,
Buncombe,37021,Total,Substantiated,2023,Number,606,
Burke,37023,Total,Investigated,2018,"Rate per 1,000",82.2,"per 1,000 children"
Burke,37023,Total,Substantiated,2018,"Rate per 1,000",18.2,"per 1,000 children"
Burke,37023,Total,Investigated,2019,"Rate per 1,000",76.4,"per 1,000 children"
Burke,37023,Total,Substantiated,2019,"Rate per 1,000",13.3,"per 1,000 children"
Burke,37023,Total,Investigated,2020,"Rate per 1,000",65.2,"per 1,000 children"
Burke,37023,Total,Substantiated,2020,"Rate per 1,000",13,"per 1,000 children"
Burke,37023,Total,Investigated,2021,"Rate per 1,000",70.9,"per 1,000 children"
Burke,37023,Total,Substantiated,2021,"Rate per 1,000",11.1,"per 1,000 children"
Burke,37023,Total,Investigated,2022,"Rate per 1,000",71.2,"per 1,000 children"
Burke,37023,Total,Substantiated,2022,"Rate per 1,000",13.5,"per 1,000 children"
Burke,37023,Total,Investigated,2023,"Rate per 1,000",70.1,"per 1,000 children"
Burke,37023,Total,Substantiated,2023,"Rate per 1,000",7.9,"per 1,000 children"
Burke,37023,Total,Investigated,2018,Number,1613,
Burke,37023,Total,Substantiated,2018,Number,357,
Burke,37023,Total,Investigated,2019,Number,1478,
Burke,37023,Total,Substantiated,2019,Number,258,
Burke,37023,Total,Investigated,2020,Number,1245,
Burke,37023,Total,Substantiated,2020,Number,248,
